feed_start_date,feed_end_date,feed_version,archive_url,archive_note
20251203,20260404,"Winter 2026, 2025-12-10T21:49:20+00:00, version D",https://cdn.mbtace.com/archive/20251203.zip,
20251202,20251202,"Winter 2026, 2025-12-09T21:48:04+00:00, version D",https://cdn.mbtace.com/archive/20251202.zip,
20251127,20251201,"Winter 2026, 2025-12-04T23:33:56+00:00, version D",https://cdn.mbtace.com/archive/20251127.zip,
20251124,20251126,"Fall 2025, 2025-12-01T22:31:49+00:00, version D",https://cdn.mbtace.com/archive/20251124.zip,
20251119,20251123,"Fall 2025, 2025-11-26T17:39:29+00:00, version D",https://cdn.mbtace.com/archive/20251119.zip,
20251118,20251118,"Fall 2025, 2025-11-25T15:18:32+00:00, version D",https://cdn.mbtace.com/archive/20251118.zip,
20251114,20251117,"Fall 2025, 2025-11-21T16:57:44+00:00, version D",https://cdn.mbtace.com/archive/20251114.zip,
20251112,20251113,"Fall 2025, 2025-11-19T15:40:35+00:00, version D",https://cdn.mbtace.com/archive/20251112.zip,
20251107,20251111,"Fall 2025, 2025-11-14T17:17:24+00:00, version D",https://cdn.mbtace.com/archive/20251107.zip,
20251105,20251106,"Fall 2025, 2025-11-12T14:13:08+00:00, version D",https://cdn.mbtace.com/archive/20251105.zip,
20251031,20251104,"Fall 2025, 2025-11-07T17:47:27+00:00, version D",https://cdn.mbtace.com/archive/20251031.zip,
20251030,20251030,"Fall 2025, 2025-11-06T20:50:01+00:00, version D",https://cdn.mbtace.com/archive/20251030.zip,
20251028,20251029,"Fall 2025, 2025-11-04T18:31:23+00:00, version D",https://cdn.mbtace.com/archive/20251028.zip,
20251021,20251027,"Fall 2025, 2025-10-28T17:02:25+00:00, version D",https://cdn.mbtace.com/archive/20251021.zip,
20251014,20251020,"Fall 2025, 2025-10-21T21:42:31+00:00, version D",https://cdn.mbtace.com/archive/20251014.zip,
20251007,20251013,"Fall 2025, 2025-10-14T21:35:39+00:00, version D",https://cdn.mbtace.com/archive/20251007.zip,
20250925,20251006,"Fall 2025, 2025-10-02T19:53:31+00:00, version D",https://cdn.mbtace.com/archive/20250925.zip,
20250923,20250924,"Fall 2025, 2025-09-30T19:44:38+00:00, version D",https://cdn.mbtace.com/archive/20250923.zip,
20250922,20250922,"Fall 2025, 2025-09-29T17:34:53+00:00, version D",https://cdn.mbtace.com/archive/20250922.zip,
20250917,20250921,"Fall 2025, 2025-09-24T16:00:12+00:00, version D",https://cdn.mbtace.com/archive/20250917.zip,
20250915,20250916,"Fall 2025, 2025-09-22T17:56:37+00:00, version D",https://cdn.mbtace.com/archive/20250915.zip,
20250912,20250914,"Fall 2025, 2025-09-19T17:12:50+00:00, version D",https://cdn.mbtace.com/archive/20250912.zip,
20250909,20250911,"Fall 2025, 2025-09-16T01:35:40+00:00, version D",https://cdn.mbtace.com/archive/20250909.zip,
20250904,20250908,"Fall 2025, 2025-09-11T21:22:16+00:00, version D",https://cdn.mbtace.com/archive/20250904.zip,
20250901,20250903,"Fall 2025, 2025-09-08T20:27:17+00:00, version D",https://cdn.mbtace.com/archive/20250901.zip,
20250828,20250831,"Fall 2025, 2025-09-04T22:41:48+00:00, version D",https://cdn.mbtace.com/archive/20250828.zip,
20250827,20250827,"Fall 2025, 2025-09-03T15:46:43+00:00, version D",https://cdn.mbtace.com/archive/20250827.zip,
20250822,20250826,"Fall 2025, 2025-08-29T21:19:49+00:00, version D",https://cdn.mbtace.com/archive/20250822.zip,
20250820,20250821,"Fall 2025, 2025-08-27T21:49:19+00:00, version D",https://cdn.mbtace.com/archive/20250820.zip,
20250819,20250819,"Fall 2025, 2025-08-26T22:31:14+00:00, version D",https://cdn.mbtace.com/archive/20250819.zip,
20250818,20250818,"Fall 2025, 2025-08-25T19:07:48+00:00, version D",https://cdn.mbtace.com/archive/20250818.zip,
20250814,20250817,"Fall 2025, 2025-08-21T14:53:52+00:00, version D",https://cdn.mbtace.com/archive/20250814.zip,
20250813,20250813,"Fall 2025, 2025-08-20T21:13:03+00:00, version D",https://cdn.mbtace.com/archive/20250813.zip,
20250811,20250812,"Fall 2025, 2025-08-18T22:53:28+00:00, version D",https://cdn.mbtace.com/archive/20250811.zip,
20250807,20250810,"Fall 2025, 2025-08-14T19:28:43+00:00, version D",https://cdn.mbtace.com/archive/20250807.zip,
20250806,20250806,"Summer 2025, 2025-08-13T21:54:49+00:00, version D",https://cdn.mbtace.com/archive/20250806.zip,
20250805,20250805,"Summer 2025, 2025-08-12T21:09:27+00:00, version D",https://cdn.mbtace.com/archive/20250805.zip,
20250731,20250804,"Summer 2025, 2025-08-07T14:35:22+00:00, version D",https://cdn.mbtace.com/archive/20250731.zip,
20250730,20250730,"Summer 2025, 2025-08-06T15:29:03+00:00, version D",https://cdn.mbtace.com/archive/20250730.zip,
20250729,20250729,"Summer 2025, 2025-08-05T21:58:15+00:00, version D",https://cdn.mbtace.com/archive/20250729.zip,
20250728,20250728,"Summer 2025, 2025-08-04T20:35:51+00:00, version D",https://cdn.mbtace.com/archive/20250728.zip,
20250724,20250727,"Summer 2025, 2025-07-31T20:17:05+00:00, version D",https://cdn.mbtace.com/archive/20250724.zip,
20250723,20250723,"Summer 2025, 2025-07-30T16:43:25+00:00, version D",https://cdn.mbtace.com/archive/20250723.zip,
20250721,20250722,"Summer 2025, 2025-07-28T19:34:14+00:00, version D",https://cdn.mbtace.com/archive/20250721.zip,
20250718,20250720,"Summer 2025, 2025-07-25T17:05:34+00:00, version D",https://cdn.mbtace.com/archive/20250718.zip,
20250715,20250717,"Summer 2025, 2025-07-22T19:38:49+00:00, version D",https://cdn.mbtace.com/archive/20250715.zip,
20250714,20250714,"Summer 2025, 2025-07-21T19:35:03+00:00, version D",https://cdn.mbtace.com/archive/20250714.zip,
20250709,20250713,"Summer 2025, 2025-07-16T15:30:09+00:00, version D",https://cdn.mbtace.com/archive/20250709.zip,
20250703,20250708,"Summer 2025, 2025-07-10T16:20:27+00:00, version D",https://cdn.mbtace.com/archive/20250703.zip,
20250626,20250702,"Summer 2025, 2025-07-03T18:59:00+00:00, version D",https://cdn.mbtace.com/archive/20250626.zip,
20250625,20250625,"Summer 2025, 2025-07-02T18:49:53+00:00, version D",https://cdn.mbtace.com/archive/20250625.zip,
20250623,20250624,"Summer 2025, 2025-06-30T18:13:30+00:00, version D",https://cdn.mbtace.com/archive/20250623.zip,
20250620,20250622,"Summer 2025, 2025-06-27T19:12:28+00:00, version D",https://cdn.mbtace.com/archive/20250620.zip,
20250618,20250619,"Summer 2025, 2025-06-25T16:27:13+00:00, version D",https://cdn.mbtace.com/archive/20250618.zip,
20250613,20250617,"Summer 2025, 2025-06-20T14:25:44+00:00, version D",https://cdn.mbtace.com/archive/20250613.zip,
20250609,20250612,"Summer 2025, 2025-06-16T19:02:34+00:00, version D",https://cdn.mbtace.com/archive/20250609.zip,
20250608,20250608,"Summer 2025, 2025-06-15T14:32:03+00:00, version D",https://cdn.mbtace.com/archive/20250608.zip,
20250606,20250607,"Summer 2025, 2025-06-13T17:12:06+00:00, version D",https://cdn.mbtace.com/archive/20250606.zip,
20250605,20250605,"Summer 2025, 2025-06-12T20:42:13+00:00, version D",https://cdn.mbtace.com/archive/20250605.zip,
